"Name","Team","Pos","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def","playerid"
"Alex Gordon","KCR","LF","1085.0","0","","","","6","2","10","","18","186","180",".968","69","","3.9","","8.5","0.7","13.1","15.8","7.5","5209"
"Tim Anderson","CHW","SS","1329.1","0","","","-1","","-1","2","","0","285","203",".712","159","","","1.2","3.2","-3.9","0.5","0.7","7.4","15172"
"Jean Segura","SEA","SS","1260.2","0","","","4","","-2","3","","5","291","217",".746","135","","","1.9","-0.4","-0.8","0.8","1.1","7.3","5933"
"Xander Bogaerts","BOS","SS","1183.1","0","","","-2","","2","-19","","-19","303","229",".756","75","","","0.9","-6.1","6.3","1.1","1.3","7.2","12161"
"Addison Russell","CHC","SS","1003.2","0","","","2","","-2","13","","13","253","215",".850","65","","","1.8","0.3","-0.2","2.0","2.0","7.2","14106"
"Johan Camargo","ATL","3B","937.0","0","","","0","","-1","7","","7","163","120",".736","39","","","0.0","5.7","-0.2","5.5","8.9","7.1","14950"
"Jason Kipnis","CLE","2B","1133.2","0","","","-3","","-5","3","","-5","268","207",".772","47","","","-0.1","3.3","0.9","4.1","4.2","6.1","9776"
"Mike Trout","LAA","CF","1076.2","0","","","","2","0","6","","8","210","193",".919","78","","1.4","","1.4","1.3","4.0","5.6","5.8","10155"
"Yolmer Sanchez","CHW","3B","1234.2","0","","","1","","1","3","","5","278","200",".719","46","","","0.6","4.0","-1.1","3.6","4.8","5.7","11602"
"Brandon Crawford","SFG","SS","1259.0","0","","","0","","4","2","","6","376","304",".809","80","","","-0.1","-1.9","1.0","-0.9","-0.8","5.5","5343"
"Matt Duffy","TBR","3B","1063.0","0","","","-1","","-1","0","","-4","278","215",".773","32","","","-0.3","4.9","-1.0","3.6","5.8","5.4","13836"
"Jose Ramirez","CLE","3B","1210.1","0","","","-1","","1","2","","3","221","160",".724","35","","","-0.8","1.6","2.5","3.3","4.0","5.4","13510"
