name,pos_primary,adp_round,rank,dollars
Braxton Garrett,SP,50,315,-21
Lucas Sims,RP,38,316,-21
Eric Lauer,SP,51,317,-21
Alex Verdugo,OF,11,318,-21
Mike Mayers,RP,47,319,-22
Andrew Chafin,RP,84,320,-22
Griffin Canning,SP,26,321,-22
Jameson Taillon,SP,16,322,-22
Eduardo Rodriguez,SP,18,323,-22
Daniel Bard,RP,22,324,-22
Nick Wittgren,RP,38,325,-22
Eric Hosmer,1B,14,326,-22
Sean Doolittle,RP,48,327,-22
Darren O'Day,RP,51,328,-22
Jaime Barria,SP,50,329,-22
Daniel Ponce de Leon,SP,46,330,-22
Miguel Castro,RP,84,331,-23
Deivi Garcia,SP,34,332,-23
Marco Gonzales,SP,15,333,-23
Yusmeiro Petit,RP,50,334,-23
Trent Thornton,SP,51,335,-23
Andrew Miller,RP,50,336,-23
Ian Kennedy,RP,46,337,-23
Scott Barlow,RP,47,338,-23
Sam Selman,RP,84,339,-23
Kevin Ginkel,RP,50,340,-23
Nick Madrigal,2B,17,341,-24
Cody Ponce,SP,51,342,-24
Joe Smith,RP,51,343,-24
German Marquez,SP,16,344,-24
Kurt Suzuki,C,42,345,-24
Brent Honeywell,SP,84,346,-24
Adam Kolarek,RP,51,347,-24
Joe Kelly,RP,51,348,-24
Josh James,RP,51,349,-24
J.B. Wendelken,RP,49,350,-24
Brandon Workman,RP,47,351,-24
Hunter Renfroe,OF,38,352,-25
Corbin Martin,SP,50,353,-25
Tanner Rainey,RP,42,354,-25
Yusei Kikuchi,SP,25,355,-25
Luke Weaver,SP,42,356,-25
Felix Pena,RP,51,357,-25
Tyler Mahle,SP,15,358,-25
Tyler Matzek,RP,50,359,-25
Collin McHugh,RP,50,360,-25
Dylan Floro,RP,50,361,-25
Kolby Allard,SP,51,362,-25
Connor Brogdon,RP,50,363,-26
Brandon Bielak,SP,84,364,-26
Jonathan Brubaker,SP,45,365,-26
Daulton Jefferies,RP,48,366,-26
Tarik Skubal,SP,27,367,-26
Christian Walker,1B,18,368,-26
Ryan Brasier,RP,51,369,-26
Hunter Dozier,1B,20,370,-26
Luis Garcia,SP,50,371,-26
Tucker Barnhart,C,45,372,-27
Jacob Barnes,RP,84,373,-27
James Hoyt,RP,51,374,-27
Trevor Cahill,SP,50,375,-27
Evan Marshall,RP,50,376,-27
Greg Holland,RP,19,377,-28
