Name,Team,POS,ADP,PA,mRBI,mR,mSB,mHR,mOBP,mSLG,PTS,aPOS,Dollars,PlayerId
"Jake Cronenworth","SDP","2B",215.50999450683594,476,-40.537385626491,-31.867053152425,2.12799180693522,-48.5157855520463,-2.39772458270043,-33.8317874231668,-155.021744529894,102.16284818644577,-51.858896343448485,"18036"
"Tyler Stephenson","CIN","C/DH",501.5799865722656,198,-67.0771335508741,-66.7743544855316,-14.5527181366526,-53.2748271863201,-6.44455925627328,-12.7539670817022,-220.877559697354,167.9592096447573,-51.91835005259665,"17988"
"Alex Dickerson","SFG","OF",359.2900085449219,469,-25.225992593193,-25.3219341524676,-12.6993059206984,-29.4796190149511,-5.16118163115034,-11.462772646193,-109.350805958653,55.78477412356954,-52.56603183508383,"12649"
"Nate Lowe","TEX","1B/3B/DH",451.8399963378906,448,-32.3713093420654,-30.7761999857655,-12.6993059206984,-22.3410565635404,1.46188166841121,-8.74649876016057,-105.472488903819,51.8913818742131,-52.58110702960589,"19566"
"Jesus Aguilar","MIA","1B/DH",435.5299987792969,525,-13.9976377021078,-23.1402278191484,-14.5527181366526,-17.5820149292666,-5.42367691091799,-21.1163705375052,-95.8126460355986,41.797858296586476,-53.01478773901209,"11342"
"Kyle Lewis","SEA","OF",149.10000610351562,644,-15.018397237661,-12.2316961525526,-3.43224484092739,-15.2024941121297,-20.229135501902,-44.2968134880464,-110.410781333219,55.78477412356954,-53.62600720964945,"19508"
"Josh Naylor","CLE","OF",498.7900085449219,497,-29.3090307354058,-24.231080985808,-8.99248148879001,-29.4796190149511,-3.32845136064819,-15.0837185465651,-110.424382132168,55.78477412356954,-53.639608008598586,"18839"
"Zack Collins","CHW","C/1B/DH",598.4500122070312,210,-66.0563740153209,-65.683501318872,-14.5527181366526,-50.8953063691832,-7.27603257939264,-18.4593047777381,-222.92323719716,167.9592096447573,-53.964027552402214,"19181"
"Bryan Reynolds","PIT","OF",329.3900146484375,588,-25.225992593193,-13.3225493192122,-7.1390692728358,-27.1000981978142,-10.3794323646914,-28.1832319410774,-111.350373688824,55.78477412356954,-54.56559956525439,"19326"
"Chris Taylor","LAD","SS/OF",234.77000427246094,504,-23.1844735220866,-22.0493746524888,-1.57883262497319,-29.4796190149511,-9.08695685214758,-19.9343929131676,-105.313649579815,49.579688036251966,-54.733961543562884,"13757"
"David Peralta","ARI","OF",285.7300109863281,560,-18.0806758443206,-23.1402278191484,-12.6993059206984,-27.1000981978142,-9.01642668271254,-23.0802563069302,-113.116990771624,55.78477412356954,-56.332216648054754,"2136"
"Nico Hoerner","CHC","2B",505.3999938964844,448,-38.4958665553846,-32.9579063190846,2.12799180693522,-50.8953063691832,-5.62872561989894,-33.6544991829814,-159.504312239597,102.16284818644577,-56.3414640531517,"21479"
"Francisco Mejia","TBR","C",500.1600036621094,224,-66.0563740153209,-65.683501318872,-14.5527181366526,-50.8953063691832,-13.1007070407776,-15.4702409677347,-225.758847848541,167.9592096447573,-56.79963820378372,"16403"
"Kevin Plawecki","BOS","C",593.8099975585938,192,-67.0771335508741,-70.0469139855104,-14.5527181366526,-58.0338688205939,-2.81654439976122,-13.2563117737783,-225.78349066717,167.9592096447573,-56.82428102241321,"13807"
"Luis Torrens","SEA","C",552.3499755859375,294,-60.9525763375549,-60.2292354855742,-14.5527181366526,-53.2748271863201,-11.3981341102719,-26.1307860862124,-226.538277342586,167.9592096447573,-57.57906769782885,"15905"
"Nick Ahmed","ARI","SS",500.260009765625,644,-9.91459955989501,-12.2316961525526,-1.57883262497319,-24.7205773806773,-21.9935162027438,-38.014118072575,-108.453339993417,49.579688036251966,-57.87365195716489,"12147"
"Randal Grichuk","TOR","OF",281.3699951171875,406,-27.2675116642994,-34.0487594857442,-12.6993059206984,-17.5820149292666,-20.811197143902,-2.78885979657991,-115.197648940491,55.78477412356954,-58.412874816920954,"10243"
"Khris Davis","TEX","DH",560.530029296875,259,-48.7034619109165,-55.8658228189358,-16.4061303526068,-31.859139832088,-7.4723588892747,-2.42750978716888,-162.734423590991,102.16284818644577,-59.571575404544966,"9112"
"Jackie Bradley Jr.","MIL","OF",408.1499938964844,553,-28.2882711998526,-19.8676683191697,2.12799180693522,-19.9615357464035,-17.073025833688,-33.5339931567426,-116.596502448921,55.78477412356954,-59.81172832535148,"12984"
"Rowdy Tellez","TOR","1B/DH",316.9200134277344,399,-26.2467521287462,-34.0487594857442,-12.6993059206984,-19.9615357464035,-8.29510981329518,-1.68189519960174,-102.933358294489,41.797858296586476,-60.13549999790271,"15679"
"Austin Hedges","CLE","C",599.3499755859375,198,-66.0563740153209,-70.0469139855104,-12.6993059206984,-48.5157855520463,-15.2995472454253,-16.6749650915119,-229.292891810513,167.9592096447573,-60.33368216575584,"12976"
"Andrew Knizner","STL","C/DH",572.22998046875,205,-68.0978930864273,-67.8652076521912,-14.5527181366526,-55.654348003457,-7.57597354365254,-15.6952800498129,-229.441420472194,167.9592096447573,-60.482210827436205,"19514"
"Adam Eaton","CHW","OF",418.5899963378906,546,-37.4751070198314,-12.2316961525526,2.12799180693522,-36.6181814663618,-0.262872748163666,-33.1816745193853,-117.641540099359,55.78477412356954,-60.85676597578994,"11205"
"Austin Hays","BAL","OF",252.8000030517578,490,-28.2882711998526,-26.4127873191271,0.274579590981015,-22.3410565635404,-22.070588171503,-18.9297035290154,-117.767827192058,55.78477412356954,-60.983053068487955,"19363"
"Jason Heyward","CHC","OF",527.6699829101562,546,-26.2467521287462,-20.9585214858292,-7.1390692728358,-31.859139832088,-0.329041718049259,-32.7793471971217,-119.31187163467,55.78477412356954,-62.527097511100635,"4940"
"Stephen Piscotty","OAK","OF",542.8300170898438,539,-17.0599163087674,-25.3219341524676,-5.2856570568816,-22.3410565635404,-19.7703139122523,-29.5629864620266,-119.341864455936,55.78477412356954,-62.55709033236629,"13367"
"Colin Moran","PIT","1B/DH",532.2100219726562,588,-12.9768781665546,-19.8676683191697,-14.5527181366526,-19.9615357464035,-13.5751683171724,-24.5895482261719,-105.523516912125,41.797858296586476,-62.72565861553814,"16909"
"Manny Pina","MIL","C",599.2000122070312,205,-68.0978930864273,-70.0469139855104,-14.5527181366526,-53.2748271863201,-9.70646417863986,-16.1726203994358,-231.851436972986,167.9592096447573,-62.89222732822876,"2829"
"Corey Dickerson","MIA","OF",432.6300048828125,546,-25.225992593193,-23.1402278191484,-8.99248148879001,-24.7205773806773,-18.4382121154415,-20.0639303114601,-120.58142170871,55.78477412356954,-63.79664758514075,"10762"
